#name,Symmetry,Symm_err,Peakiness,Peak_err,Alignment,Align_err,RaffCP(2006),Raff_err_low,Raff_err_high,CavagCP(2010),Cavag_err_low,Cavag_err_high,OSulCP(2011),OSul_err_low,Osul_err_high,HlavaCP(2012),Hlava_err,completeCavPow,complete_err_low,complete_err_high
MACS_J0308.9+2645,0.954,0,-1.024,0,1.06,0,,,,,,,,,,,,,,
MACS_J0329.6-0211,0.851,0,-0.605,0,1.08,0,,,,,,,,,,,,,,
MACS_J0417.5-1154,0.372,0,-0.651,0,1.19,0,,,,,,,,,,,,,,
MACS_J0429.6-0253,0.932,0,-0.617,0,1.31,0,,,,,,,,,,83,0,83,0,0
MACS_J0520.7-1328,1.089,0,-0.921,0,1.34,0,,,,,,,,,,,,,,
MACS_J0547.0-3904,0.797,0,-0.635,0,0.81,0,,,,,,,,,,163,0,163,0,0
MACS_J0717.5+3745,0.758,0,-1.131,0,1,0,,,,,,,,,,,,,,
MACS_J0744.8+3927,0.645,0,-0.766,0,1.08,0,,,,,,,,,,,,,,
MACS_J1115.2+5320,0.72,0,-1.292,0,0.75,0,,,,,,,,,,,,,,
MACS_J1115.8+0129,1.346,0,-0.676,0,1.61,0,,,,,,,,,,,,,,
MACS_J1131.8-1955,0.398,0,-0.975,0,0.5,0,,,,,,,,,,,,,,
MACS_J1149.5+2223,0.808,0,-1.128,0,0.87,0,,,,,,,,,,,,,,
MACS_J1206.2-0847,0.867,0,-0.872,0,1.36,0,,,,,,,,,,,,,,
MACS_J1311.0-0310,1.287,0,-0.747,0,1.54,0,,,,,,,,,,,,,,
MACS_J1621.3+3810,1.03,0,-0.706,0,1.29,0,,,,,,,,,,,,,,
MACS_J1931.8-2634,1.419,0,-0.545,0,1.63,0,,,,,,,,,,8760,0,8760,0,0
MACS_J2049.9-3217,0.839,0,-1.108,0,1.04,0,,,,,,,,,,,,,,
MACS_J2211.7-0349,0.664,0,-0.767,0,1.18,0,,,,,,,,,,,,,,
MACS_J2214.9-1359,1.045,0,-1.055,0,1.09,0,,,,,,,,,,,,,,
MACS_J2228+2036,0.5,0,-1.048,0,0.73,0,,,,,,,,,,,,,,
MACS_J2229.7-2755,1.34,0,-0.438,0,1.51,0,,,,,,,,,,,,,,
MACS_J2245.0+2637,1.31,0,-0.805,0,1.28,0,,,,,,,,,,79,0,79,0,0
MKW3S,,,,,,,410,44,420,,,,,,,,,410,44,420
MKW_04,,,,,,,,,,,,,,,,,,,,
MKW_08,,,,,,,,,,,,,,,,,,,,
MS_0015.9+1609,,,,,,,,,,,,,,,,,,,,
MS_0116.3-0115,,,,,,,,,,,,,,,,,,,,
MS_0440.5+0204,,,,,,,,,,,,,,,,,,,,
MS_0451.6-0305,0.702,0,-0.998,0,1.15,0,,,,,,,,,,,,,,
MS_0735.6+7421,,,,,,,6900,2600,7600,,,,,,,,,6900,2600,7600
MS_0839.8+2938,,,,,,,,,,,,,,,,,,,,
MS_0906.5+1110,,,,,,,,,,,,,,,,,,,,
MS_1006.0+1202,,,,,,,,,,,,,,,,,,,,
MS_1008.1-1224,,,,,,,,,,,,,,,,,,,,
MS_1455.0+2232,,,,,,,,,,,,,,,,,,,,
MS_2137.3-2353,1.539,0,-0.489,0,1.53,0,,,,,,,,,,179,0,,,
MS_J1157.3+5531,,,,,,,,,,,,,,,,,,,,
NGC_0507,,,,,,,,,,19.9,6.8,4.4,20.68,5.58,28.72,,,20.68,5.58,28.72
NGC_4636,,,,,,,,,,2.76,0.91,0.56,0.28,0.04,0.11,,,0.28,0.04,0.11
NGC_5044,,,,,,,,,,4.18,1.97,1.18,2.88,0.45,2.55,,,2.88,0.45,2.55
NGC_5813,,,,,,,,,,3.97,2.36,1.02,1.64,0.2,0.29,,,1.64,0.2,0.29
NGC_5846,,,,,,,,,,0.88,0.59,0.3,1.71,0.44,0.5,,,1.71,0.44,0.5
OPHIUCHUS,,,,,,,,,,,,,,,,,,,,
PKS_0745-191,,,,,,,1700,300,1400,,,,,,,,,1700,300,1400
RBS_0461,,,,,,,,,,,,,,,,,,,,
RBS_0533,,,,,,,,,,,,,,,,,,,,
RBS_0797,,,,,,,1200,500,1700,,,,,,,10760,0,10760,0,0
RCS_J2327-0204,,,,,,,,,,,,,,,,,,,,
RXCJ0331.1-2100,,,,,,,,,,,,,,,,,,,,
RXC_J1023.8-2715,,,,,,,,,,,,,,,,,,,,
RX_J0220.9-3829,0.256,0,-0.877,0,0.69,0,,,,,,,,,,,,,,
RX_J0232.2-4420,0.535,0,-0.83,0,0.94,0,,,,,,,,,,,,,,
RX_J0439+0520,1.249,0,-0.717,0,1.31,0,,,,,,,,,,,,,,
RX_J0439.0+0715,0.873,0,-0.994,0,1.38,0,,,,,,,,,,,,,,
RX_J0528.9-3927,0.767,0,-0.963,0,0.76,0,,,,,,,,,,,,,,
RX_J0647.7+7015,,,,,,,,,,,,,,,,,,,,
RX_J0819.6+6336,,,,,,,,,,,,,,,,,,,,
RX_J1000.4+4409,,,,,,,,,,,,,,,,,,,,
RX_J1022.1+3830,,,,,,,,,,,,,,,,,,,,
RX_J1130.0+3637,,,,,,,,,,,,,,,,,,,,
RX_J1320.2+3308,,,,,,,,,,,,,,,,,,,,
RX_J1347.5-1145,0.881,0,-0.464,0,1.28,0,,,,,,,,,,,,,,
RX_J1423.8+2404,,,,,,,1400,900,2500,,,,,,,2053,0,2053,0,0
RX_J1504.1-0248,1.222,0,-0.456,0,1.57,0,,,,,,,,,,,,,,
RX_J1532.9+3021,,,,,,,,,,,,,,,,859,0,859,0,0
RX_J1539.5-8335,,,,,,,,,,,,,,,,,,,,
RX_J1720.1+2638,0.905,0,-0.672,0,1.07,0,,,,,,,,,,,,,,
RX_J1720.2+3536,,,,,,,,,,,,,,,,381,0,381,0,0
RX_J1852.1+5711,,,,,,,,,,,,,,,,,,,,
RX_J2129.6+0005,1.201,0,-0.788,0,1.29,0,,,,,,,,,,,,,,
SC_1327-312,,,,,,,,,,,,,,,,,,,,
SERSIC_159-03,,,,,,,780,260,820,,,,,,,,,780,260,820
SS2B153,,,,,,,,,,,,,,,,,,,,
UGC_03957,,,,,,,,,,,,,,,,,,,,
UGC_12491,,,,,,,,,,,,,,,,,,,,
ZWCL_1215,,,,,,,,,,,,,,,,,,,,
ZWCL_1358+6245,,,,,,,,,,,,,,,,,,,,
ZWCL_1742,,,,,,,,,,,,,,,,,,,,
ZWCL_1953,,,,,,,,,,,,,,,,,,,,
ZWCL_3146,,,,,,,5800,1500,6800,,,,,,,,,5800,1500,6800
ZWICKY_2701,1.481,0,-0.768,0,1.58,0,6000,3500,8900,,,,,,,,,6000,3500,8900
ZwCl_0857.9+2107,,,,,,,,,,,,,,,,,,,,
