#Name,z,z_err,K0(keV.cm^2),K0_err,K100(keV.cm^2),K100_err,alpha,Tx(keV),Tx_err,Lbol(10^44erg/sec),Lbol_err,UL?,LHa(10^40erg/sec),LHa_err,UL?,Lrad(10^40erg/sec),Lrad_err
Hercules_A,0.1541,0,9.17,0,143.89,0,1.07,4.15,0,3.48,0,=,1.3,0,=,55200,0
Hydra_A,0.0549,0,13.31,0,114.92,0,1.03,4.3,0,2.63,0,=,9.61,0,=,2890,0
M49,0.0033,0,0.91,0,495.33,0,1.14,1.33,0,,,?,,,=,0.046,0
M87,0.0044,0,3.53,0,146.6,0,0.8,2.5,0,,,=,0.103,0,=,47,0
MACS_J0011.7-1523,0.36,0,18.83,0,109.14,0,1.04,5.42,0,11,0,?,,,=,152,0
MACS_J0035.4-2015,0.3644,0,93.42,0,76.4,0,1.26,7.39,0,19.8,0,?,,,<,12.6,0
MACS_J0159.8-0849,0.405,0,18.79,0,123.87,0,1.31,9.59,0,26.5,0,?,,,=,237,0
MACS_J0242.5-2132,0.314,0,10.92,0,74.59,0,1.29,6.22,0,12.9,0,?,,,=,4450,0
MACS_J0257.1-2325,0.5053,0,234.47,0,195.81,0,1.39,10.5,0,21.9,0,?,,,<,27.5,0
MACS_J0257.6-2209,0.3224,0,155.91,0,82.11,0,1.55,7.4,0,10.9,0,?,,,<,9.44,0
MACS_J0308.9+2645,0.356,0.001,212.76,0,70.07,0,1.43,7.37,0,20.6,0,?,,,<,9.55,0
MACS_J0329.6-0211,0.45,0,11.13,0,96.68,0,1.26,6.85,0,13,0,?,,,=,57.4,0
MACS_J0417.5-1154,0.443,0.001,27.08,0,99.69,0,1.42,11.3,0,38.2,0,?,,,=,235,0
MACS_J0429.6-0253,0.399,0,17.17,0,88.87,0,1.23,6.76,0,11.7,0,?,,,=,866,0
MACS_J0520.7-1328,0.3398,0,88.59,0,84.92,0,1.2,6.27,0,9.63,0,?,,,=,397,0
MACS_J0547.0-3904,0.319,0.001,23.14,0,121.59,0,1.2,2.96,0,1.62,0,?,,,=,44.4,0
MACS_J0717.5+3745,0.548,0,220.15,0,160.08,0,0.76,10.5,0,46.9,0,?,,,<,33.5,0
