#name,ROIout,D_A,asymm(A),asymm_err,clumpy(S),clump_err,concen(C),concen_err
RX_J1130.0+3637,0.19989,239.107,,,,,,
RX_J1320.2+3308,0.17183,149.959,0.776338547,0,0.622682992,0,3.957,0
RX_J1347.5-1145,1.0026,1189.438,,,,,,
RX_J1423.8+2404,0.79403,1316.426,,,,,,
RX_J1504.1-0248,0.59562,719.902,0.083758239,0,0.373581268,0,4.3745,0
RX_J1532.9+3021,0.4885,1009.373,,,,,,
RX_J1539.5-8335,0.23899,285.796,,,,,,
RX_J1720.1+2638,0.55971,580.501,0.237408984,0,0.423244237,0,4.1678,0
RX_J1720.2+3536,0.60533,1093.397,,,,,,
RX_J1852.1+5711,0.34457,411.717,,,,,,
RX_J2129.6+0005,0.591,770.239,,,,,,
SC_1327-312,0.24916,213.339,,,,,,
SERSIC_159-03,0.16979,231.682,0.325194721,0,0.417304832,0,3.1756,0
SS2B153,0.07656,77.876,0.298607719,0,0.503193709,0,4.3622,0
UGC_03957,0.24085,140.134,,,,,,
UGC_12491,0.08983,72.958,0.504001067,0,0.542956892,0,4.1107,0
ZWCL_1215,0.63152,293.679,0.875864076,0,0.830402926,0,2.6042,0
ZWCL_1358+6245,0.68016,976.227,,,,,,
ZWCL_1742,0.34676,296.178,,,,,,
ZWCL_1953,0.7747,1073.701,,,,,,
ZWCL_3146,0.39246,897.317,,,,,,
ZWICKY_2701,0.45743,706.95,,,,,,
ZwCl_0857.9+2107,0.443,770.239,,,,,,
