NH results
     Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 246.05841, 41.24376| 0.008 | 0.007    | 8.90e+19 | 8.49e+19 | 1.87e+18 | 1.65e+18 | 9.09e+19 | 8.65e+19 |
J 247.15937, 39.55119| 0.009 | 0.009    | 9.20e+19 | 8.92e+19 | 2.14e+18 | 2.12e+18 | 9.42e+19 | 9.13e+19 |
J 248.19550, 5.57579| 0.076 | 0.077    | 5.61e+20 | 5.67e+20 | 1.57e+20 | 1.61e+20 | 7.17e+20 | 7.28e+20 |
J 248.96180, 66.21175| 0.027 | 0.027    | 2.66e+20 | 2.60e+20 | 2.37e+19 | 2.26e+19 | 2.89e+20 | 2.83e+20 |
J 250.08380, 46.71190| 0.020 | 0.020    | 1.68e+20 | 1.76e+20 | 9.99e+18 | 1.08e+19 | 1.78e+20 | 1.87e+20 |
J 255.67741, 34.06037| 0.021 | 0.022    | 1.88e+20 | 1.88e+20 | 1.24e+19 | 1.25e+19 | 2.00e+20 | 2.01e+20 |
J 258.17890, 64.06967| 0.029 | 0.029    | 2.46e+20 | 2.50e+20 | 2.29e+19 | 2.37e+19 | 2.69e+20 | 2.74e+20 |
J 255.93570, 78.63653| 0.047 | 0.048    | 4.10e+20 | 4.22e+20 | 6.78e+19 | 7.22e+19 | 4.78e+20 | 4.94e+20 |
J 260.03458, 27.66987| 0.046 | 0.044    | 3.28e+20 | 3.31e+20 | 5.27e+19 | 5.03e+19 | 3.81e+20 | 3.82e+20 |
J 260.61356, 32.13294| 0.040 | 0.040    | 3.18e+20 | 3.19e+20 | 4.33e+19 | 4.35e+19 | 3.61e+20 | 3.63e+20 |
J 261.04229, 85.88605| 0.180 | 0.193    | 6.57e+20 | 6.56e+20 | 4.19e+20 | 4.45e+20 | 1.08e+21 | 1.10e+21 |
J 290.29016, 43.95598| 0.109 | 0.111    | 8.05e+20 | 8.10e+20 | 3.17e+20 | 3.26e+20 | 1.12e+21 | 1.14e+21 |
J 328.08824, -19.54775| 0.031 | 0.031    | 2.68e+20 | 2.73e+20 | 2.78e+19 | 2.81e+19 | 2.96e+20 | 3.02e+20 |
J 328.40344, 17.69566| 0.093 | 0.096    | 6.19e+20 | 6.21e+20 | 2.12e+20 | 2.18e+20 | 8.32e+20 | 8.39e+20 |
J 330.21903, 20.96849| 0.095 | 0.099    | 6.45e+20 | 6.62e+20 | 2.26e+20 | 2.40e+20 | 8.71e+20 | 9.02e+20 |
J 332.57830, -12.17037| 0.043 | 0.043    | 3.61e+20 | 3.71e+20 | 5.34e+19 | 5.59e+19 | 4.14e+20 | 4.26e+20 |
J 339.79736, -17.34120| 0.037 | 0.038    | 2.94e+20 | 2.99e+20 | 3.69e+19 | 3.86e+19 | 3.31e+20 | 3.37e+20 |
J 347.09297, -2.19163| 0.057 | 0.060    | 4.48e+20 | 4.62e+20 | 9.16e+19 | 9.89e+19 | 5.40e+20 | 5.60e+20 |
J 348.08176, -21.50314| 0.029 | 0.028    | 1.92e+20 | 1.86e+20 | 1.75e+19 | 1.66e+19 | 2.09e+20 | 2.02e+20 |
J 348.25589, -21.63457| 0.028 | 0.028    | 1.88e+20 | 1.81e+20 | 1.66e+19 | 1.58e+19 | 2.04e+20 | 1.97e+20 |
J 350.98881, 16.77734| 0.038 | 0.036    | 3.22e+20 | 3.16e+20 | 4.12e+19 | 3.80e+19 | 3.63e+20 | 3.53e+20 |
J 351.33241, -12.12434| 0.033 | 0.033    | 2.46e+20 | 2.48e+20 | 2.67e+19 | 2.72e+19 | 2.73e+20 | 2.75e+20 |
J 354.12688, 21.14649| 0.056 | 0.057    | 3.83e+20 | 3.83e+20 | 7.65e+19 | 7.67e+19 | 4.60e+20 | 4.59e+20 |
J 354.41067, 0.26806| 0.035 | 0.034    | 3.64e+20 | 3.55e+20 | 4.38e+19 | 4.16e+19 | 4.08e+20 | 3.96e+20 |
J 356.23855, 9.19187| 0.124 | 0.121    | 6.02e+20 | 5.67e+20 | 2.72e+20 | 2.51e+20 | 8.74e+20 | 8.19e+20 |
J 357.91415, -26.08410| 0.022 | 0.022    | 1.74e+20 | 1.73e+20 | 1.17e+19 | 1.16e+19 | 1.85e+20 | 1.85e+20 |
J 0.80403, -35.93337| 0.012 | 0.012    | 1.16e+20 | 1.18e+20 | 3.95e+18 | 4.02e+18 | 1.20e+20 | 1.22e+20 |
J 3.58137, -30.39173| 0.016 | 0.015    | 1.52e+20 | 1.40e+20 | 7.16e+18 | 5.95e+18 | 1.60e+20 | 1.46e+20 |
J 10.85367, -20.62363| 0.019 | 0.018    | 1.75e+20 | 1.84e+20 | 9.91e+18 | 1.01e+19 | 1.85e+20 | 1.94e+20 |
J 46.01633, -36.94088| 0.020 | 0.020    | 2.30e+20 | 2.30e+20 | 1.44e+19 | 1.43e+19 | 2.44e+20 | 2.45e+20 |
J 46.75722, -28.66541| 0.015 | 0.014    | 1.32e+20 | 1.27e+20 | 5.71e+18 | 5.26e+18 | 1.37e+20 | 1.32e+20 |
J 49.49034, -44.23810| 0.014 | 0.013    | 1.37e+20 | 1.33e+20 | 5.60e+18 | 5.14e+18 | 1.43e+20 | 1.38e+20 |
J 50.48527, -51.32650| 0.017 | 0.018    | 1.36e+20 | 1.37e+20 | 6.97e+18 | 7.32e+18 | 1.43e+20 | 1.44e+20 |
J 55.72781, -53.62343| 0.016 | 0.016    | 1.38e+20 | 1.34e+20 | 6.57e+18 | 6.09e+18 | 1.45e+20 | 1.40e+20 |
J 67.80543, -61.45350| 0.021 | 0.020    | 1.62e+20 | 1.62e+20 | 1.02e+19 | 9.92e+18 | 1.72e+20 | 1.72e+20 |
J 86.90707, -31.87323| 0.030 | 0.030    | 2.11e+20 | 2.07e+20 | 2.05e+19 | 2.01e+19 | 2.32e+20 | 2.27e+20 |
J 90.54898, -39.94974| 0.058 | 0.057    | 4.98e+20 | 5.00e+20 | 1.03e+20 | 1.03e+20 | 6.02e+20 | 6.03e+20 |
J 96.58963, -53.69578| 0.092 | 0.093    | 5.58e+20 | 5.66e+20 | 1.89e+20 | 1.93e+20 | 7.46e+20 | 7.59e+20 |
J 96.70193, -54.54978| 0.108 | 0.117    | 6.70e+20 | 7.10e+20 | 2.66e+20 | 3.03e+20 | 9.36e+20 | 1.01e+21 |
J 193.67040, -29.22725| 0.077 | 0.079    | 6.28e+20 | 6.39e+20 | 1.78e+20 | 1.85e+20 | 8.05e+20 | 8.23e+20 |
J 201.98689, -31.49549| 0.056 | 0.055    | 4.02e+20 | 4.05e+20 | 7.98e+19 | 7.93e+19 | 4.82e+20 | 4.84e+20 |
J 203.40750, -31.67001| 0.054 | 0.054    | 3.76e+20 | 3.75e+20 | 7.11e+19 | 7.15e+19 | 4.47e+20 | 4.47e+20 |
J 206.86847, -32.86457| 0.055 | 0.056    | 4.25e+20 | 4.25e+20 | 8.30e+19 | 8.41e+19 | 5.08e+20 | 5.09e+20 |
J 211.87407, -27.01830| 0.060 | 0.061    | 4.31e+20 | 4.36e+20 | 9.30e+19 | 9.60e+19 | 5.24e+20 | 5.32e+20 |
J 303.17180, -56.84325| 0.053 | 0.051    | 4.52e+20 | 4.44e+20 | 8.47e+19 | 8.08e+19 | 5.37e+20 | 5.24e+20 |
J 328.51751, -57.86742| 0.028 | 0.027    | 2.34e+20 | 2.33e+20 | 2.08e+19 | 2.04e+19 | 2.55e+20 | 2.53e+20 |
J 330.47167, -59.94529| 0.033 | 0.035    | 2.54e+20 | 2.64e+20 | 2.78e+19 | 3.05e+19 | 2.82e+20 | 2.95e+20 |
J 342.49095, -64.42838| 0.027 | 0.027    | 2.39e+20 | 2.39e+20 | 2.09e+19 | 2.07e+19 | 2.60e+20 | 2.60e+20 |
J 356.92992, -28.14300| 0.018 | 0.019    | 1.50e+20 | 1.55e+20 | 8.19e+18 | 9.06e+18 | 1.58e+20 | 1.64e+20 |
J 359.25444, -34.75924| 0.013 | 0.013    | 1.21e+20 | 1.21e+20 | 4.43e+18 | 4.59e+18 | 1.26e+20 | 1.26e+20 |
J 57.88673, -82.21950| 0.072 | 0.073    | 5.77e+20 | 5.83e+20 | 1.53e+20 | 1.55e+20 | 7.30e+20 | 7.38e+20 |
J 99.70254, -53.97398| 0.100 | 0.100    | 6.07e+20 | 6.05e+20 | 2.23e+20 | 2.22e+20 | 8.30e+20 | 8.28e+20 |
J 344.70132, -34.80228| 0.017 | 0.017    | 1.28e+20 | 1.29e+20 | 6.23e+18 | 6.22e+18 | 1.34e+20 | 1.35e+20 |
