#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
ABELL_0611,2.14E-02,4.29E-02,0.00842,0.00046771,170.89,170.89,22.007,9.65E-11,9.65E-11,1.31E-11,6.91E+12,6.25E+11,6.9849,0.90169,2.36E-23,10.261,1.442,6.1564,0.86519
ABELL_0644,1.97E-02,2.63E-02,0.010988,0.0016035,157.43,157.43,20.927,1.38E-10,1.38E-10,2.38E-11,1.27E+12,8.43E+10,7.3914,0.62852,2.44E-23,8.0608,1.3615,4.8365,0.81691
ABELL_0665,1.51E-02,3.01E-02,0.010238,0.0019002,160.96,160.96,29.094,1.26E-10,1.26E-10,2.87E-11,-6.27E+11,-6.06E+10,7.5763,1,2.35E-23,9.1953,2.0942,5.5172,1.2565
ABELL_0697,2.03E-02,4.05E-02,0.010557,0.00030292,204.69,209.66,33.064,1.68E-10,1.73E-10,2.75E-11,9.49E+12,1.12E+12,10.09,1.58,2.83E-23,9.8482,1.5678,5.9089,0.94069
ABELL_0744,2.05E-02,2.74E-02,0.0040922,0.00027538,129.48,137.19,10.056,2.20E-11,2.33E-11,2.03E-12,2.09E+12,9.73E+10,3.51,0.21,1.90E-23,13.154,1.1844,7.8921,0.71064
ABELL_0754,2.08E-02,2.60E-02,0.0048821,0.0013283,321.61,321.61,71.807,7.32E-11,7.32E-11,2.21E-11,2.06E+12,1.96E+11,8.2612,0.97328,2.49E-23,19.826,5.8781,11.895,3.5269
ABELL_0773,1.74E-02,3.48E-02,0.0071385,0.0023063,273.02,273.02,73.781,1.17E-10,1.17E-10,4.24E-11,-3.85E+12,-4.61E+11,9.4053,1.4988,2.67E-23,14.414,5.1927,8.6486,3.1156
ABELL_0907,2.62E-02,3.93E-02,0.01253,0.00026661,86.168,86.168,6.602,9.44E-11,9.44E-11,7.38E-12,6.80E+12,3.75E+11,4.6811,0.35578,2.09E-23,5.2238,0.41229,3.1343,0.24737
ABELL_0963,1.67E-02,3.33E-02,0.013669,0.0013926,92.632,110.03,12.995,1.17E-10,1.39E-10,1.87E-11,5.68E+12,5.11E+11,6.29,0.65,2.37E-23,5.6636,0.82189,3.3982,0.49313
ABELL_1060,2.01E-02,2.14E-02,0.0065835,0.00054719,102.21,102.21,9.5475,9.19E-11,9.19E-11,2.47E-11,1.08E+12,5.95E+10,3.5423,0.2708,1.93E-23,8.1193,0.91689,4.8716,0.55014
ABELL_1063S,2.47E-02,4.94E-02,0.023239,0.0015212,189.48,189.48,30.533,5.81E-10,5.81E-10,9.78E-11,1.04E+13,1.18E+12,13.107,2.0803,3.07E-23,5.3596,0.92015,3.2158,0.55209
ABELL_1068,2.40E-02,3.60E-02,0.03086,0.00066023,33.618,33.618,2.3386,3.97E-10,3.97E-10,6.80E-11,5.19E+12,2.59E+11,3.3486,0.22681,1.82E-23,1.7386,0.1235,1.0432,0.074097
ABELL_1201,1.42E-02,2.85E-02,0.011579,0.001413,68.614,102.57,12.457,6.59E-11,9.85E-11,1.34E-11,2.03E+12,2.42E+11,5.25,0.57,1.96E-23,6.7463,1.1019,4.0478,0.66114
ABELL_1204,1.38E-02,2.75E-02,0.052448,0.0017018,23.409,23.409,1.5203,2.79E-10,2.79E-10,1.93E-11,2.09E+12,9.38E+10,3.3596,0.20768,1.85E-23,1.0091,0.070448,0.60544,0.042269
ABELL_1240,1.36E-02,2.71E-02,0.00092011,0.00026394,424.48,457.71,112.73,5.99E-12,6.45E-12,2.04E-12,2.33E+10,3.15E+09,4.33,0.74,1.66E-23,82.515,27.552,49.509,16.531
ABELL_1361,2.09E-02,3.13E-02,0.016011,0.0010739,40.863,48.485,5.8047,6.73E-11,7.99E-11,1.01E-11,3.05E+12,3.01E+11,3.08,0.35,1.62E-23,3.4578,0.45628,2.0747,0.27377
ABELL_1413,2.37E-02,3.56E-02,0.017531,0.00041935,89.969,90.687,7.6923,1.72E-10,1.74E-10,1.51E-11,6.08E+12,3.75E+11,6.5444,0.66313,2.37E-23,4.6022,0.47915,2.7613,0.28749
