#Name,Rin (Mpc),Rout (Mpc),nelec (cm^-3),neerr cm^-3),Kitpl (keV cm^2),Kflat (keV cm^2),Kerr (keV cm^2),Pitpl (dyne cm^-2),Pflat (dyne cm^-2),Perr (dyne cm^-2),Mgrav (M_solar),Merr (M_solar),Tx (keV),Txerr (keV),Lambda (ergs cm^3/s),tcool5/2 (Gyr),t52err (Gyr),tcool3/2 (Gyr),t32err (Gyr)
RX_J1852.1+5711,1.97E-02,2.95E-02,0.0071899,0.00047384,66.754,79.728,8.319,2.90E-11,3.46E-11,3.88E-12,2.90E+12,2.48E+11,2.97,0.29,1.72E-23,6.9971,0.82428,4.1983,0.49457
RX_J2129.6+0005,1.85E-02,3.69E-02,0.033052,0.0016645,41.28,44.179,5.3295,5.46E-10,5.85E-10,1.76E-10,7.22E+12,6.60E+11,4.55,0.53,2.09E-23,1.9215,0.24385,1.1529,0.14631
SC_1327-312,1.95E-02,2.44E-02,0.0054668,0.00059841,111.67,110.21,11.688,3.07E-11,3.03E-11,4.07E-12,1.76E+12,9.68E+10,3.3966,0.2534,1.82E-23,9.9734,1.3212,5.984,0.7927
SERSIC_159-03,2.12E-02,2.65E-02,0.029271,0.00086236,25.335,25.335,1.9467,1.14E-10,1.14E-10,9.12E-12,1.61E+12,8.79E+10,2.3987,0.17622,1.60E-23,1.4953,0.11836,0.89718,0.071016
SS2B153,2.04E-02,2.23E-02,0.0076781,0.00059666,20.458,20.458,1.1674,2.38E-11,2.38E-11,4.64E-12,9.28E+11,1.63E+10,0.78337,0.015842,1.49E-23,2.0031,0.16085,1.2019,0.096507
UGC_03957,2.01E-02,2.34E-02,0.011889,0.00079028,47.86,50.487,3.1312,4.80E-11,5.07E-11,3.94E-12,2.52E+12,8.91E+10,2.6682,0.12694,2.08E-23,3.1466,0.25721,1.888,0.15432
UGC_12491,1.92E-02,2.09E-02,0.0066,0.0007127,28.061,28.061,2.4808,2.53E-11,2.53E-11,7.27E-12,1.12E+12,4.20E+10,1.0157,0.053249,1.30E-23,3.4658,0.41603,2.0795,0.24962
ZWCL_1215,2.11E-02,2.81E-02,0.0066594,0.001781,184.62,184.62,39.534,7.05E-11,7.05E-11,2.06E-11,3.34E+12,2.91E+11,6.5099,0.80007,2.09E-23,13.63,4.0118,8.1783,2.4071
ZWCL_1358+6245,2.35E-02,4.69E-02,0.023063,0.00058468,37.331,44.185,4.7323,2.71E-10,3.21E-10,8.34E-11,6.68E+12,6.16E+11,3.58,0.38,1.76E-23,2.5789,0.28144,1.5474,0.16886
ZWCL_1742,2.12E-02,2.83E-02,0.020052,0.00055799,31.641,40.781,2.3769,7.59E-11,9.78E-11,5.91E-12,2.65E+12,1.41E+11,3.01,0.17,1.89E-23,2.3127,0.14561,1.3876,0.087365
ZWCL_1953,2.58E-02,5.17E-02,0.010079,0.0019079,217.99,217.99,68.364,1.66E-10,1.66E-10,5.71E-11,5.23E+12,1.10E+12,9.7414,2.7335,2.55E-23,11.076,3.7491,6.6455,2.2494
ZWCL_3146,2.07E-02,4.13E-02,0.055175,0.0015134,31.36,31.36,2.4888,4.06E-10,4.06E-10,3.33E-11,6.35E+12,3.60E+11,4.4021,0.32243,2.01E-23,1.1617,0.090854,0.69699,0.054513
ZWICKY_2701,1.69E-02,3.39E-02,0.016371,0.00037196,54.812,54.812,4.523,9.37E-11,9.37E-11,7.90E-12,1.86E+12,1.11E+11,3.6982,0.33227,2.01E-23,3.2755,0.30356,1.9653,0.18214
ZwCl_0857.9+2107,1.85E-02,3.69E-02,0.023483,0.0018385,37.537,38.169,4.0428,1.17E-10,1.19E-10,1.43E-11,2.63E+12,1.82E+11,3.13,0.29,1.71E-23,2.2772,0.27623,1.3663,0.16574
